Name,On a Scale of 1-5 Rate the Place,A Detailed Review of the Place
LostMySelfTraveling,5,"As soon as we went inside we took tickets and also for electric buggies. So that we can go around the zoo park easily. It's a lovely zoo park. There are many visitors come here in holidays from several parts of India. There are wide varieties of wild animals that include while tiger, white peacocks and very big size in macaws ( Similar to parrots but large in size). There is an exclusive fish aquarium too with a separate entrance ticket. You can also rent bicycles for an hour or so. The bicycles must be checked before taking for rent. Overall its a great experience with little kids."
NIL_MODI,4,Beautiful garden. Nice place. One should visit in the evening. nicely maintained. entry charge is there. small rides are also available at extra charge for kids.
HARISH,4,nice and big garden...you can visit full garden via a small train in ntr garden with a nominal fee..
muthukrish2000,4,"This is located near to Birla Mandir.Nice place with more science, art, Dinosarium. You can see big dinosaur Skelton in 3rd Level. Including basement there are 4 levels. You can visit this place when visiting Birla Timing. But only till 5pm."
Amit Bansal,3,"A good experience going around the film city.I booked a package from Ramoji website. The first half was checking around sets via an A/C bus with guide followed by a lunch.The lunch at Superstar hotel was really not as per Ramoji's standard. Poor state of veg food, pathetically slow roti service. Not worth the price. Taste was just OK. If the restaurant can not handle volume, then they should not even entertain that much of volume.The stalls outside offered much better food.The shows were great as well, the package that I opted was too lengthy for my enthusiasm, at around 5 PM, I wish there were no more shows. I wanted a good tea with some snacks, that experience was not that great as well. Food & restaurants surely needs to improve for the prices that are offered for.There was a winter fest that made the place even beautiful with lights, perhaps, I had left with no energy & zeal to enjoy that.It was a good experience, wish I had got some good food."
sahifa,5,wonderful heritage at Hyderabad I have purchased many useful items from this place taxi facility is very excellent over here
anonymous8808,,pro1. big zoo2. kid enjoy itcons:1. toilet very smelly can smell it from walkway2. animal is not that many. like for elephant only saw 3 and girraffe only 13. no baby room
Sundaresh,5,"A best place to have darshan of Lord Balaj. The Temple is located in heart of beautiful Hyderabad, on hill. The temple is preist freindly and having nice atmosphere. from Temple, you can experience  bird eye view of important places in Hyderabad and Secunderabad especially   scenic  beauty of Lord Budhha statue, Necklace Road, Secreteriat, Assembly, Golconda fort and bridge connecting Hyderabad and Secunderabad.After having darshan, you can visit planeterium, which is very educative and informative. Many Hotels both veg and non-veg serving Telangana authentic cuisine is very satisfactory.for easy travel, Hyderabad Metro is conveniently located. A best  pocket friendly place to visit   and enjoy with family."
TANISHK REDDY,5,Golconda is one of the iconic sites in Telengana state. I visited on a cool day and the views of Hyderabad hitech City was very good. It's a must visit place for all ages.
Journeyscribe,5,"A piece of history, excellent architecture. Avoid bring your own cars as parking facility is a mess. "
Chandra J,5,Easy trek up hillside unless you have problems navigating stairs.  Great views of the city and of the whole area.  Helpful with a guide so you know what you're looking at
Rahul S,5,"I really liked the place and the structure of all the placed there, There you will find various types of all kinds of species.....Great to spend a Day"
NAZEER SHAIK,5,Very popular and one of the most visiting place. So many people are coming from different places. Good
eeebvr,5,"Worthful place which offers many artifacts and the different floors take to different experiences. one can  see toys from different countries, armory, ancient relics dinosar replica in dinosarium.....etc., Can spend a day easily"
skychaserCalgary,5,"Very historical place, walked up to the top and back down again….superb views of the city from on the top"
jamrasperingadi,1,"Visiting ramoji film city is onenofnthe best experience i ever had. Travelling an an a/c bus throughtout, it was really a fantastic experience andnthe lunch we had was marveqllours. One full day we spent the filmncity and it was marvellous.. recommended to my froends in bharain about such a beautiful experience"
AKSHAT J,5,It was a nice place and totally white people comes from as far as they come.I feel very grateful and peace there You must go one time Radha krishna temple
